B_index,B_id,Latitude,Longitude,Media,B_Size,Zone,End_time,Start_time,Influence,Cost
1,18,40.85071,-73.93581,Poster,242.74,1,0.041666667,0:55,0.011599924,0.001108424
2,18,40.85071,-73.93581,Poster,242.74,1,2:15,2:10,0.011599924,0.001055413
3,18,40.85071,-73.93581,Poster,242.74,1,7:30,7:25,0.011599924,0.001117321
4,18,40.85071,-73.93581,Poster,242.74,1,0.333333333,7:55,0.011599924,0.001115303
5,18,40.85071,-73.93581,Poster,242.74,1,0.5,11:55,0.011599924,0.00114727
6,18,40.85071,-73.93581,Poster,242.74,1,18:40,18:35,0.011599924,0.001203
7,18,40.85071,-73.93581,Poster,242.74,1,0.875,20:55,0.011599924,0.001215735
8,18,40.85071,-73.93581,Poster,242.74,1,21:45,21:40,0.023199847,0.002194481
9,18,40.85071,-73.93581,Poster,242.74,1,21:55,21:50,0.011599924,0.001118937
10,18,40.85071,-73.93581,Poster,242.74,1,22:05,22:00,0.011599924,0.001244932
11,18,40.85071,-73.93581,Poster,242.74,1,23:40,23:35,0.046399694,0.004740348
12,18,40.85071,-73.93581,Poster,242.74,1,23:50,23:45,0.011599924,0.001159791
13,22,40.86981,-73.9166,Poster,242.74,1,0:10,0:05,0.011599924,0.001056792
14,22,40.86981,-73.9166,Poster,242.74,1,0:30,0:25,0.011599924,0.001065906
15,22,40.86981,-73.9166,Poster,242.74,1,14:25,14:20,0.011599924,0.001260895
16,22,40.86981,-73.9166,Poster,242.74,1,15:05,15:00,0.023199847,0.002194331
17,22,40.86981,-73.9166,Poster,242.74,1,16:40,16:35,0.011599924,0.001124885
18,22,40.86981,-73.9166,Poster,242.74,1,20:20,20:15,0.011599924,0.001149124
19,22,40.86981,-73.9166,Poster,242.74,1,21:15,21:10,0.011599924,0.001094681
20,22,40.86981,-73.9166,Poster,242.74,1,22:20,22:15,0.011599924,0.001180136
21,22,40.86981,-73.9166,Poster,242.74,1,23:45,23:40,0.011599924,0.001216092
22,23,40.86981,-73.9166,Poster,242.74,1,0:10,0:05,0.011599924,0.001100434
23,23,40.86981,-73.9166,Poster,242.74,1,0:30,0:25,0.011599924,0.001201712
24,23,40.86981,-73.9166,Poster,242.74,1,14:25,14:20,0.011599924,0.001094202
25,23,40.86981,-73.9166,Poster,242.74,1,15:05,15:00,0.023199847,0.002138434
26,23,40.86981,-73.9166,Poster,242.74,1,16:40,16:35,0.011599924,0.001222579
27,23,40.86981,-73.9166,Poster,242.74,1,20:20,20:15,0.011599924,0.00119534
28,23,40.86981,-73.9166,Poster,242.74,1,21:15,21:10,0.011599924,0.001058089
29,23,40.86981,-73.9166,Poster,242.74,1,22:20,22:15,0.011599924,0.001084603
30,23,40.86981,-73.9166,Poster,242.74,1,23:45,23:40,0.011599924,0.001164821
31,68,40.818089,-73.960708,Poster,242.74,1,0:05,0:00,0.011599924,0.00123372
32,68,40.818089,-73.960708,Poster,242.74,1,0:25,0:20,0.011599924,0.00111524
33,68,40.818089,-73.960708,Poster,242.74,1,0:50,0:45,0.011599924,0.001235453
34,68,40.818089,-73.960708,Poster,242.74,1,0:55,0:50,0.011599924,0.001122221
35,68,40.818089,-73.960708,Poster,242.74,1,0.041666667,0:55,0.011599924,0.001162416
36,68,40.818089,-73.960708,Poster,242.74,1,1:25,1:20,0.011599924,0.001257085
37,68,40.818089,-73.960708,Poster,242.74,1,1:40,1:35,0.011599924,0.001271447
38,68,40.818089,-73.960708,Poster,242.74,1,1:55,1:50,0.011599924,0.001162725
39,68,40.818089,-73.960708,Poster,242.74,1,2:35,2:30,0.011599924,0.001168834
40,68,40.818089,-73.960708,Poster,242.74,1,3:45,3:40,0.011599924,0.001241599
41,68,40.818089,-73.960708,Poster,242.74,1,4:50,4:45,0.011599924,0.001089275
42,68,40.818089,-73.960708,Poster,242.74,1,0.583333333,13:55,0.011599924,0.001199527
43,68,40.818089,-73.960708,Poster,242.74,1,14:05,14:00,0.011599924,0.001260481
44,68,40.818089,-73.960708,Poster,242.74,1,14:10,14:05,0.011599924,0.001173449
45,68,40.818089,-73.960708,Poster,242.74,1,14:15,14:10,0.011599924,0.00108979
46,68,40.818089,-73.960708,Poster,242.74,1,14:20,14:15,0.011599924,0.001132816
47,68,40.818089,-73.960708,Poster,242.74,1,14:35,14:30,0.023199847,0.002315608
48,68,40.818089,-73.960708,Poster,242.74,1,16:10,16:05,0.011599924,0.00123414
49,68,40.818089,-73.960708,Poster,242.74,1,19:55,19:50,0.011599924,0.001078269
50,68,40.818089,-73.960708,Poster,242.74,1,21:40,21:35,0.011599924,0.001178696
51,68,40.818089,-73.960708,Poster,242.74,1,22:25,22:20,0.011599924,0.00121044
52,68,40.818089,-73.960708,Poster,242.74,1,22:55,22:50,0.011599924,0.001258356
53,68,40.818089,-73.960708,Poster,242.74,1,23:05,23:00,0.011599924,0.001217712
54,68,40.818089,-73.960708,Poster,242.74,1,23:20,23:15,0.023199847,0.002327757
55,68,40.818089,-73.960708,Poster,242.74,1,23:40,23:35,0.011599924,0.001047761
56,69,40.818089,-73.960708,Poster,242.74,1,0:05,0:00,0.011599924,0.001141481
57,69,40.818089,-73.960708,Poster,242.74,1,0:25,0:20,0.011599924,0.001155447
58,69,40.818089,-73.960708,Poster,242.74,1,0:50,0:45,0.011599924,0.001116001
59,69,40.818089,-73.960708,Poster,242.74,1,0:55,0:50,0.011599924,0.00112459
60,69,40.818089,-73.960708,Poster,242.74,1,0.041666667,0:55,0.011599924,0.001125691
61,69,40.818089,-73.960708,Poster,242.74,1,1:25,1:20,0.011599924,0.001073633
62,69,40.818089,-73.960708,Poster,242.74,1,1:40,1:35,0.011599924,0.001265322
63,69,40.818089,-73.960708,Poster,242.74,1,1:55,1:50,0.011599924,0.001110168
64,69,40.818089,-73.960708,Poster,242.74,1,2:35,2:30,0.011599924,0.001075059
65,69,40.818089,-73.960708,Poster,242.74,1,3:45,3:40,0.011599924,0.001044345
66,69,40.818089,-73.960708,Poster,242.74,1,4:50,4:45,0.011599924,0.001232957
67,69,40.818089,-73.960708,Poster,242.74,1,0.583333333,13:55,0.011599924,0.001223723
68,69,40.818089,-73.960708,Poster,242.74,1,14:05,14:00,0.011599924,0.00109166
69,69,40.818089,-73.960708,Poster,242.74,1,14:10,14:05,0.011599924,0.001134329
70,69,40.818089,-73.960708,Poster,242.74,1,14:15,14:10,0.011599924,0.001136922
71,69,40.818089,-73.960708,Poster,242.74,1,14:20,14:15,0.011599924,0.001071793
72,69,40.818089,-73.960708,Poster,242.74,1,14:35,14:30,0.023199847,0.002491934
73,69,40.818089,-73.960708,Poster,242.74,1,16:10,16:05,0.011599924,0.001097991
74,69,40.818089,-73.960708,Poster,242.74,1,19:55,19:50,0.011599924,0.001169921
75,69,40.818089,-73.960708,Poster,242.74,1,21:40,21:35,0.011599924,0.001165055
76,69,40.818089,-73.960708,Poster,242.74,1,22:25,22:20,0.011599924,0.001172606
77,69,40.818089,-73.960708,Poster,242.74,1,22:55,22:50,0.011599924,0.001219216
78,69,40.818089,-73.960708,Poster,242.74,1,23:05,23:00,0.011599924,0.001054793
79,69,40.818089,-73.960708,Poster,242.74,1,23:20,23:15,0.023199847,0.002525649
80,69,40.818089,-73.960708,Poster,242.74,1,23:40,23:35,0.011599924,0.001058293
81,70,40.818089,-73.960708,Poster,242.74,1,0:05,0:00,0.011599924,0.001080786
82,70,40.818089,-73.960708,Poster,242.74,1,0:25,0:20,0.011599924,0.001048931
83,70,40.818089,-73.960708,Poster,242.74,1,0:50,0:45,0.011599924,0.00107177
84,70,40.818089,-73.960708,Poster,242.74,1,0:55,0:50,0.011599924,0.001145071
85,70,40.818089,-73.960708,Poster,242.74,1,0.041666667,0:55,0.011599924,0.001209609
86,70,40.818089,-73.960708,Poster,242.74,1,1:25,1:20,0.011599924,0.001094667
87,70,40.818089,-73.960708,Poster,242.74,1,1:40,1:35,0.011599924,0.001083777
88,70,40.818089,-73.960708,Poster,242.74,1,1:55,1:50,0.011599924,0.001231751
89,70,40.818089,-73.960708,Poster,242.74,1,2:35,2:30,0.011599924,0.001207046
90,70,40.818089,-73.960708,Poster,242.74,1,3:45,3:40,0.011599924,0.001253562
91,70,40.818089,-73.960708,Poster,242.74,1,4:50,4:45,0.011599924,0.001141262
