B_index,B_id,Latitude,Longitude,Start_time,End_time,Tags,B_Size,Influence,Zone,Cost
1,432995,34.034443,-118.264257,0:00,0:01,Chinese Restaurant,145,0.21577381,0,0.02206425
2,432995,34.034443,-118.264257,0:03,0:04,Art Gallery,468,0.696428571,0,0.070984996
3,432995,34.034443,-118.264257,0:05,0:06,Scandinavian Restaurant,484,1.44047619,0,0.153905613
4,432995,34.034443,-118.264257,0:06,0:07,Sporting Goods Shop,201,0.299107143,0,0.030967558
5,432995,34.034443,-118.264257,0:09,0:10,Camera Store,331,0.492559524,0,0.050256928
6,432995,34.034443,-118.264257,0:13,0:14,Bar,432,1.928571429,0,0.205435081
7,432995,34.034443,-118.264257,0:19,0:20,Scandinavian Restaurant,574,0.854166667,0,0.087075273
8,432995,34.034443,-118.264257,0:20,0:21,Fried Chicken Joint,514,1.529761905,0,0.14837158
9,432995,34.034443,-118.264257,0:22,0:23,Filipino Restaurant,188,0.279761905,0,0.027830912
10,432995,34.034443,-118.264257,0:26,0:27,Portuguese Restaurant,84,0.125,0,0.01233001
11,432995,34.034443,-118.264257,0:37,0:38,Cosmetics Shop,263,0.782738095,0,0.077330105
12,432995,34.034443,-118.264257,0:41,0:42,Antique Shop,398,0.592261905,0,0.059079007
13,432995,34.034443,-118.264257,0:42,0:43,Gaming Cafe,514,0.764880952,0,0.083148381
14,432995,34.034443,-118.264257,0:48,0:49,Medical School,251,0.74702381,0,0.070308674
15,432995,34.034443,-118.264257,0:49,0:50,Gift Shop,435,0.647321429,0,0.067847956
16,432995,34.034443,-118.264257,0:50,0:51,Candy Store,201,0.598214286,0,0.059017899
17,432995,34.034443,-118.264257,0:51,0:52,Spanish Restaurant,629,0.936011905,0,0.102102935
18,432995,34.034443,-118.264257,0:54,0:55,Church,358,0.532738095,0,0.052836625
19,432995,34.034443,-118.264257,0:56,0:57,Burrito Place,270,0.803571429,0,0.078886939
20,432995,34.034443,-118.264257,0:58,0:59,Mediterranean Restaurant,528,0.785714286,0,0.074938868
21,432995,34.034443,-118.264257,0:59,1:00,Office,602,0.895833333,0,0.082453568
22,432995,34.034443,-118.264257,1:00,1:01,College Theater,361,0.537202381,0,0.057889838
23,432995,34.034443,-118.264257,1:01,1:02,Home (private),351,0.522321429,0,0.051350315
24,432995,34.034443,-118.264257,1:04,1:05,Moving Target,356,0.529761905,0,0.051353081
25,432995,34.034443,-118.264257,1:05,1:06,Sorority House,325,0.967261905,0,0.08816411
26,432995,34.034443,-118.264257,1:08,1:09,American Restaurant,558,0.830357143,0,0.078986399
27,432995,34.034443,-118.264257,1:10,1:11,Racetrack,590,0.87797619,0,0.080002477
28,432995,34.034443,-118.264257,1:14,1:15,Sushi Restaurant,213,0.316964286,0,0.034668036
